True Position,Predicted Position
40.0,24.0
93.0,68.0
203.0,102.0
300.0,76.0
150.0,29.0
300.0,96.0
184.0,46.0
221.0,72.0
47.0,40.0
83.0,51.0
100.0,61.0
300.0,84.0
78.0,83.0
145.0,56.0
300.0,95.0
66.0,92.0
164.0,55.0
22.0,73.0
64.0,51.0
58.0,62.0
25.0,71.0
300.0,62.0
300.0,92.0
18.0,58.0
28.0,37.0
300.0,58.0
131.0,92.0
147.0,96.0
212.0,82.0
185.0,75.0
168.0,68.0
27.0,83.0
32.0,54.0
192.0,58.0
95.0,83.0
300.0,65.0
193.0,101.0
88.0,54.0
112.0,76.0
36.0,66.0
92.0,73.0
156.0,83.0
175.0,88.0
217.0,29.0
151.0,43.0
150.0,62.0
217.0,102.0
190.0,42.0
165.0,52.0
52.0,46.0
26.0,69.0
19.0,68.0
300.0,98.0
133.0,73.0
7.0,59.0
10.0,72.0
300.0,71.0
300.0,93.0
147.0,73.0
144.0,79.0
65.0,59.0
75.0,58.0
144.0,58.0
300.0,65.0
184.0,86.0
57.0,58.0
85.0,68.0
142.0,60.0
188.0,70.0
98.0,59.0
170.0,82.0
168.0,82.0
187.0,63.0
128.0,77.0
101.0,78.0
148.0,93.0
82.0,51.0
126.0,47.0
300.0,36.0
221.0,57.0
300.0,46.0
144.0,96.0
145.0,83.0
3.0,53.0
300.0,94.0
133.0,77.0
177.0,88.0
217.0,73.0
30.0,71.0
98.0,48.0
36.0,62.0
201.0,93.0
160.0,64.0
129.0,54.0
74.0,73.0
42.0,77.0
8.0,35.0
195.0,64.0
185.0,56.0
68.0,44.0
22.0,48.0
67.0,52.0
166.0,59.0
151.0,63.0
81.0,40.0
300.0,54.0
34.0,45.0
30.0,55.0
49.0,48.0
17.0,64.0
172.0,84.0
180.0,78.0
156.0,103.0
7.0,28.0
153.0,51.0
187.0,75.0
26.0,78.0
28.0,48.0
39.0,56.0
300.0,85.0
94.0,80.0
52.0,68.0
49.0,51.0
36.0,85.0
44.0,60.0
204.0,61.0
111.0,28.0
153.0,60.0
1.0,58.0
218.0,69.0
154.0,84.0
53.0,67.0
136.0,52.0
50.0,84.0
156.0,92.0
71.0,69.0
104.0,74.0
56.0,83.0
215.0,61.0
173.0,65.0
215.0,75.0
300.0,26.0
87.0,50.0
203.0,82.0
105.0,43.0
170.0,63.0
165.0,85.0
180.0,82.0
107.0,94.0
196.0,65.0
57.0,52.0
300.0,68.0
44.0,55.0
23.0,62.0
40.0,75.0
222.0,33.0
300.0,48.0
138.0,54.0
41.0,86.0
127.0,71.0
143.0,85.0
300.0,88.0
195.0,65.0
300.0,64.0
300.0,89.0
144.0,93.0
62.0,81.0
33.0,83.0
116.0,56.0
88.0,44.0
163.0,55.0
61.0,63.0
178.0,67.0
205.0,76.0
13.0,68.0
300.0,55.0
99.0,52.0
35.0,71.0
148.0,62.0
170.0,50.0
7.0,51.0
300.0,56.0
175.0,42.0
300.0,62.0
159.0,53.0
95.0,45.0
164.0,48.0
168.0,108.0
300.0,85.0
173.0,53.0
140.0,85.0
93.0,67.0
205.0,74.0
101.0,47.0
150.0,82.0
48.0,44.0
300.0,48.0
35.0,42.0
57.0,109.0
91.0,94.0
300.0,61.0
161.0,70.0
154.0,63.0
110.0,89.0
94.0,89.0
300.0,57.0
133.0,55.0
220.0,56.0
114.0,88.0
36.0,33.0
70.0,67.0
145.0,60.0
29.0,60.0
160.0,101.0
300.0,61.0
300.0,47.0
8.0,59.0
35.0,60.0
300.0,81.0
97.0,75.0
71.0,70.0
192.0,64.0
111.0,66.0
2.0,57.0
131.0,80.0
173.0,78.0
123.0,85.0
111.0,89.0
14.0,45.0
64.0,60.0
22.0,47.0
158.0,94.0
211.0,64.0
25.0,46.0
32.0,52.0
181.0,108.0
82.0,76.0
117.0,93.0
92.0,81.0
60.0,28.0
300.0,44.0
67.0,58.0
78.0,74.0
184.0,73.0
117.0,68.0
154.0,76.0
157.0,69.0
192.0,95.0
140.0,61.0
300.0,59.0
17.0,77.0
114.0,58.0
154.0,75.0
300.0,37.0
300.0,56.0
157.0,72.0
66.0,48.0
44.0,62.0
154.0,87.0
19.0,78.0
130.0,68.0
102.0,83.0
73.0,96.0
175.0,82.0
59.0,60.0
21.0,82.0
70.0,78.0
194.0,89.0
129.0,60.0
162.0,82.0
224.0,63.0
86.0,77.0
115.0,87.0
175.0,58.0
157.0,35.0
192.0,98.0
26.0,49.0
133.0,73.0
300.0,50.0
222.0,49.0
91.0,53.0
43.0,62.0
300.0,85.0
161.0,81.0
168.0,105.0
137.0,67.0
300.0,28.0
