True Draft Value,Predicted Draft Value,True Draft Position,Predicted Draft Position
500.0,14.5447035,40.0,192.0
128.0,14.542855,93.0,192.0
10.2,14.514366,203.0,192.0
0.0,14.540744,300.0,192.0
31.4,14.510304,150.0,192.0
0.0,14.532277,300.0,192.0
17.8,14.531802,184.0,192.0
3.0,14.5246725,221.0,192.0
430.0,14.544109,47.0,192.0
175.0,14.543815,83.0,192.0
100.0,14.543441,100.0,192.0
0.0,14.54022,300.0,192.0
200.0,14.542371,78.0,192.0
33.5,14.511184,145.0,192.0
0.0,14.544243,300.0,192.0
260.0,14.541892,66.0,192.0
25.8,14.541541,164.0,192.0
780.0,14.541221,22.0,192.0
270.0,14.543441,64.0,192.0
320.0,14.542964,58.0,192.0
720.0,14.542565,25.0,192.0
0.0,14.542762,300.0,192.0
0.0,14.542026,300.0,192.0
900.0,14.542598,18.0,192.0
660.0,14.542766,28.0,192.0
0.0,14.542563,300.0,192.0
41.0,14.525151,131.0,192.0
32.6,14.543554,147.0,192.0
6.6,14.541105,212.0,192.0
17.4,14.543069,185.0,192.0
24.2,14.54149,168.0,192.0
680.0,14.544719,27.0,192.0
590.0,14.543271,32.0,192.0
14.6,14.535962,192.0,192.0
120.0,14.544158,95.0,192.0
0.0,14.5421095,300.0,192.0
14.2,14.51902,193.0,192.0
150.0,14.543817,88.0,192.0
70.0,14.544117,112.0,192.0
540.0,14.539821,36.0,192.0
132.0,14.544509,92.0,192.0
29.0,14.542645,156.0,192.0
21.4,14.541472,175.0,192.0
4.6,14.530795,217.0,192.0
31.0,14.541714,151.0,192.0
31.4,14.518531,150.0,192.0
4.6,14.538667,217.0,192.0
15.4,14.533082,190.0,192.0
25.4,14.540298,165.0,192.0
380.0,14.542699,52.0,192.0
700.0,14.54275,26.0,192.0
875.0,14.540821,19.0,192.0
0.0,14.542293,300.0,192.0
39.5,14.537177,133.0,192.0
1500.0,14.542331,7.0,192.0
1300.0,14.54319,10.0,192.0
0.0,14.542862,300.0,192.0
0.0,14.541849,300.0,192.0
32.6,14.514606,147.0,192.0
34.0,14.542351,144.0,192.0
265.0,14.54319,65.0,192.0
215.0,14.540526,75.0,192.0
34.0,14.543329,144.0,192.0
0.0,14.543396,300.0,192.0
17.8,14.53111,184.0,192.0
330.0,14.540572,57.0,192.0
165.0,14.542874,85.0,192.0
35.0,14.531452,142.0,192.0
16.2,14.529742,188.0,192.0
108.0,14.54376,98.0,192.0
23.4,14.53634,170.0,192.0
24.2,14.542253,168.0,192.0
16.6,14.534801,187.0,192.0
44.0,14.541394,128.0,192.0
96.0,14.540232,101.0,192.0
32.3,14.540841,148.0,192.0
180.0,14.539847,82.0,192.0
46.0,14.541836,126.0,192.0
0.0,14.525302,300.0,192.0
3.0,14.521073,221.0,192.0
0.0,14.537221,300.0,192.0
34.0,14.544556,144.0,192.0
33.5,14.522048,145.0,192.0
2200.0,14.540549,3.0,192.0
0.0,14.544337,300.0,192.0
39.5,14.543434,133.0,192.0
20.6,14.531304,177.0,192.0
4.6,14.541145,217.0,192.0
620.0,14.541667,30.0,192.0
108.0,14.540324,98.0,192.0
540.0,14.543057,36.0,192.0
11.0,14.536355,201.0,192.0
27.4,14.520396,160.0,192.0
43.0,14.541445,129.0,192.0
220.0,14.544612,74.0,192.0
480.0,14.543258,42.0,192.0
1400.0,14.542138,8.0,192.0
13.4,14.498998,195.0,192.0
17.4,14.530522,185.0,192.0
250.0,14.542325,68.0,192.0
780.0,14.543497,22.0,192.0
255.0,14.544031,67.0,192.0
25.0,14.513033,166.0,192.0
31.0,14.534644,151.0,192.0
185.0,14.5424595,81.0,192.0
0.0,14.544169,300.0,192.0
560.0,14.54285,34.0,192.0
620.0,14.543008,30.0,192.0
410.0,14.542188,49.0,192.0
950.0,14.542977,17.0,192.0
22.6,14.541549,172.0,192.0
19.4,14.541832,180.0,192.0
29.0,14.538764,156.0,192.0
1500.0,14.543397,7.0,192.0
30.2,14.5350685,153.0,192.0
16.6,14.54411,187.0,192.0
700.0,14.543368,26.0,192.0
660.0,14.544118,28.0,192.0
510.0,14.543204,39.0,192.0
0.0,14.542941,300.0,192.0
124.0,14.542598,94.0,192.0
380.0,14.542725,52.0,192.0
410.0,14.53539,49.0,192.0
540.0,14.540345,36.0,192.0
460.0,14.543329,44.0,192.0
9.8,14.543475,204.0,192.0
72.0,14.537144,111.0,192.0
30.2,14.543452,153.0,192.0
3000.0,14.539809,1.0,192.0
4.2,14.535678,218.0,192.0
29.8,14.54277,154.0,192.0
370.0,14.542624,53.0,192.0
